"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2026","563.57","571.48","572.95","563.07","1.10M","-1.38%"
"08/20/2026","571.48","586.67","591.68","569.54","1.56M","-3.00%"
"08/19/2026","589.15","605.00","606.07","589.04","1.01M","-2.97%"
"08/18/2026","607.17","600.07","612.75","600.07","1.02M","2.26%"
"08/17/2026","593.74","605.50","607.03","593.56","880.69K","-2.45%"
"08/14/2026","608.68","603.00","609.24","599.11","862.63K","1.78%"
"08/13/2026","598.01","609.78","609.78","596.48","798.42K","-1.44%"
"08/12/2026","606.72","595.48","610.36","588.01","1.04M","1.50%"
"08/11/2026","597.77","600.31","602.75","592.89","924.97K","-0.89%"
"08/10/2026","603.16","591.77","606.65","589.72","1.19M","2.59%"
"08/07/2026","587.95","581.11","588.39","577.00","749.59K","0.88%"
"08/06/2026","582.85","584.31","588.49","577.81","738.80K","0.91%"
"08/05/2026","577.60","593.00","593.69","577.13","954.71K","-1.99%"
"08/04/2026","589.33","587.19","592.50","578.30","1.18M","0.52%"
"08/03/2026","586.29","583.50","589.41","579.03","1.24M","0.61%"
"07/31/2026","582.74","574.11","583.89","570.89","1.42M","1.50%"
"07/30/2026","574.11","565.76","574.76","556.55","1.51M","0.86%"
"07/29/2026","569.20","585.00","587.00","568.73","1.61M","-2.08%"
"07/28/2026","581.31","589.00","593.77","576.73","1.28M","0.23%"
"07/27/2026","580.00","581.88","587.99","578.00","1.08M","-0.45%"
"07/24/2026","582.60","568.59","588.41","568.59","1.74M","2.46%"
"07/23/2026","568.59","545.00","576.00","545.00","3.28M","10.54%"
"07/22/2026","514.36","515.79","521.00","512.00","1.14M","1.43%"
"07/21/2026","507.09","501.00","507.75","487.15","1.32M","-0.48%"
"07/20/2026","509.54","510.63","515.84","507.74","998.39K","0.15%"
"07/17/2026","508.77","519.00","527.33","507.68","1.27M","-0.92%"
"07/16/2026","513.52","514.99","520.13","511.31","758.10K","-0.18%"
"07/15/2026","514.46","514.83","520.68","512.78","816.49K","-0.10%"
"07/14/2026","514.99","518.36","526.26","514.87","698.46K","-1.09%"
"07/13/2026","520.68","525.01","527.45","517.26","714.61K","-0.49%"
"07/10/2026","523.22","516.42","524.00","513.81","662.79K","0.96%"
"07/09/2026","518.26","522.50","525.01","515.55","989.60K","-1.84%"
"07/08/2026","527.96","537.63","537.63","525.35","927.70K","-1.39%"
"07/07/2026","535.38","546.00","547.47","531.77","847.56K","-0.49%"
"07/06/2026","538.00","545.00","545.91","535.17","937.94K","-1.45%"
"07/02/2026","545.91","529.00","545.99","529.00","1.40M","4.62%"
"07/01/2026","521.82","517.00","524.24","514.34","1.28M","2.43%"
"06/30/2026","509.46","504.00","509.46","498.30","1.16M","1.47%"
"06/29/2026","502.07","508.50","510.14","501.75","997.48K","-1.05%"
"06/26/2026","507.40","505.25","518.24","503.90","3.67M","0.47%"
"06/25/2026","505.02","495.95","512.57","494.25","1.38M","2.72%"
"06/24/2026","491.64","502.93","503.34","491.49","1.29M","-2.39%"
"06/23/2026","503.67","498.83","504.30","496.53","827.47K","2.04%"
"06/22/2026","493.60","508.50","510.00","490.05","1.70M","-3.40%"
"06/18/2026","510.95","535.56","536.90","505.18","3.98M","-4.01%"
"06/17/2026","532.32","530.25","539.47","528.90","1.14M","-0.68%"
"06/16/2026","535.95","531.26","538.50","527.01","848.11K","1.05%"
"06/15/2026","530.36","535.42","535.80","528.59","1.20M","-1.85%"
"06/12/2026","540.33","547.00","550.86","538.31","1.03M","-1.52%"
"06/11/2026","548.68","528.62","550.99","528.26","1.38M","4.51%"
"06/10/2026","525.02","534.25","535.20","524.81","934.26K","-0.96%"
"06/09/2026","530.13","519.00","530.18","518.87","1.02M","1.93%"
"06/08/2026","520.07","523.00","527.11","516.85","847.80K","-0.70%"
"06/05/2026","523.76","520.00","528.01","519.95","903.14K","0.91%"
