"Date","Price","Open","High","Low","Vol.","Change %"
"08/21/2026","551.03","566.14","567.51","550.18","926.94K","-2.28%"
"08/20/2026","563.86","580.74","586.00","563.42","1.24M","-3.26%"
"08/19/2026","582.84","583.35","591.54","578.85","671.75K","-1.07%"
"08/18/2026","589.14","579.07","594.51","576.20","764.08K","3.32%"
"08/17/2026","570.20","581.85","584.96","569.24","660.15K","-2.67%"
"08/14/2026","585.87","579.36","586.36","574.44","599.41K","1.94%"
"08/13/2026","574.74","578.72","579.94","571.92","409.58K","-0.45%"
"08/12/2026","577.32","571.07","580.03","569.51","626.63K","0.28%"
"08/11/2026","575.69","575.94","580.75","572.98","430.42K","-0.38%"
"08/10/2026","577.89","575.00","581.59","573.11","643.27K","1.10%"
"08/07/2026","571.58","566.80","572.75","560.54","443.00K","0.68%"
"08/06/2026","567.74","563.81","568.68","559.00","604.03K","1.84%"
"08/05/2026","557.47","555.88","557.57","549.77","628.22K","1.07%"
"08/04/2026","551.55","547.77","555.00","541.09","753.10K","0.56%"
"08/03/2026","548.47","546.02","557.61","543.53","673.03K","1.10%"
"07/31/2026","542.48","534.85","545.22","530.08","852.89K","1.43%"
"07/30/2026","534.85","529.07","535.03","519.77","774.93K","-0.04%"
"07/29/2026","535.05","554.35","554.93","534.24","760.95K","-2.58%"
"07/28/2026","549.22","558.00","565.42","548.58","944.46K","0.30%"
"07/27/2026","547.58","542.44","552.00","542.22","680.28K","0.98%"
"07/24/2026","542.24","535.50","544.67","534.45","655.19K","1.64%"
"07/23/2026","533.48","537.19","546.76","526.36","1.08M","1.56%"
"07/22/2026","525.28","523.09","535.64","518.47","1.06M","2.54%"
"07/21/2026","512.29","490.00","514.14","479.02","2.45M","-2.23%"
"07/20/2026","523.96","523.48","533.07","522.74","1.03M","0.46%"
"07/17/2026","521.57","525.07","538.96","520.66","1.05M","0.56%"
"07/16/2026","518.65","525.81","529.44","517.16","1.27M","-1.25%"
"07/15/2026","525.22","531.88","535.92","524.87","824.64K","-0.65%"
"07/14/2026","528.67","536.88","544.11","527.94","773.51K","-2.43%"
"07/13/2026","541.82","540.52","545.54","536.85","633.64K","0.41%"
"07/10/2026","539.63","534.67","541.08","529.93","455.89K","1.39%"
"07/09/2026","532.23","537.55","539.65","528.02","938.27K","-2.36%"
"07/08/2026","545.11","546.04","548.15","539.00","955.39K","-0.72%"
"07/07/2026","549.04","551.04","552.63","544.28","702.95K","0.24%"
"07/06/2026","547.75","547.00","548.51","537.37","917.81K","-0.23%"
"07/02/2026","549.01","527.89","549.01","527.89","1.74M","5.59%"
"07/01/2026","519.95","514.44","525.31","511.08","902.81K","2.09%"
"06/30/2026","509.31","499.76","509.57","495.10","1.29M","2.68%"
"06/29/2026","496.02","502.00","503.81","493.84","1.15M","-0.80%"
"06/26/2026","500.03","501.75","507.28","498.13","1.58M","0.14%"
"06/25/2026","499.33","501.00","512.43","498.75","775.31K","-0.73%"
"06/24/2026","503.01","515.14","517.13","502.77","1.22M","-1.99%"
"06/23/2026","513.22","519.07","519.63","509.48","790.76K","1.16%"
"06/22/2026","507.33","515.59","516.07","503.68","1.12M","-2.72%"
"06/18/2026","521.50","552.14","553.50","515.38","2.40M","-5.21%"
"06/17/2026","550.15","549.00","558.80","544.35","709.55K","-0.19%"
"06/16/2026","551.21","545.90","554.20","544.35","741.42K","1.19%"
"06/15/2026","544.73","542.35","546.07","536.74","1.07M","-1.02%"
"06/12/2026","550.33","553.00","554.06","546.99","800.97K","-0.40%"
"06/11/2026","552.52","543.87","559.70","541.38","896.88K","1.91%"
"06/10/2026","542.14","552.90","552.92","541.00","751.21K","-1.19%"
"06/09/2026","548.67","538.35","548.75","537.44","968.16K","1.45%"
"06/08/2026","540.81","542.03","546.86","531.50","1.03M","-0.66%"
"06/05/2026","544.40","550.00","551.96","540.16","1.07M","-0.14%"
"06/04/2026","545.17","532.50","545.43","531.33","1.01M","3.63%"
"06/03/2026","526.06","533.54","538.43","525.73","1.22M","-1.96%"
"06/02/2026","536.59","535.17","538.43","531.80","1.33M","-0.49%"
"06/01/2026","539.22","559.93","559.93","538.62","1.32M","-4.34%"
"05/29/2026","563.68","561.31","563.93","551.03","1.98M","0.78%"
"05/28/2026","559.29","552.26","560.55","551.34","1.06M","1.44%"
"05/27/2026","551.34","552.35","555.49","548.55","520.73K","-0.98%"
"05/26/2026","556.80","557.73","558.99","550.34","607.12K","0.22%"
"05/22/2026","555.58","552.54","557.69","550.49","652.27K","0.73%"
"05/21/2026","551.58","553.62","555.96","546.76","799.53K","-0.11%"
"05/20/2026","552.17","556.06","556.06","547.57","966.27K","-0.75%"
"05/19/2026","556.34","552.95","557.09","550.08","829.90K","1.15%"
"05/18/2026","550.00","540.00","552.75","539.00","1.29M","1.72%"
"05/15/2026","540.69","548.72","552.80","539.14","648.91K","-1.45%"
"05/14/2026","548.65","553.54","555.97","547.28","524.72K","-0.57%"
"05/13/2026","551.80","554.35","554.35","544.10","568.21K","-1.16%"
"05/12/2026","558.30","550.00","559.46","546.57","684.92K","1.84%"
"05/11/2026","548.21","546.00","554.25","544.12","667.70K","-0.24%"
"05/08/2026","549.52","554.97","555.03","544.24","742.68K","-0.50%"
"05/07/2026","552.27","559.23","561.32","548.30","841.48K","-1.31%"
"05/06/2026","559.60","558.97","560.62","551.25","772.80K","0.18%"
"05/05/2026","558.60","570.05","570.50","553.41","923.67K","-1.48%"
"05/04/2026","567.00","567.31","577.50","565.19","708.09K","-0.20%"
"05/01/2026","568.14","578.74","580.86","568.09","647.15K","-1.96%"
"04/30/2026","579.48","574.14","580.74","573.25","649.74K","1.24%"
"04/29/2026","572.41","578.00","582.13","567.33","683.93K","-0.94%"
"04/28/2026","577.82","581.96","582.99","570.66","585.91K","0.44%"
"04/27/2026","575.28","577.00","588.26","569.56","932.25K","0.03%"
"04/24/2026","575.11","582.32","582.78","569.00","1.04M","-2.14%"
"04/23/2026","587.66","592.57","596.50","583.23","1.39M","-0.33%"
"04/22/2026","589.62","611.10","615.00","583.50","1.30M","-3.52%"
"04/21/2026","611.13","640.00","653.00","610.39","1.63M","-6.98%"
"04/20/2026","656.98","667.00","673.34","653.36","787.93K","-1.24%"
"04/17/2026","665.26","671.02","677.75","663.02","745.38K","-1.12%"
"04/16/2026","672.77","679.10","680.41","669.90","670.49K","-0.86%"
"04/15/2026","678.59","680.66","682.88","676.00","547.39K","-0.23%"
"04/14/2026","680.13","678.46","681.68","674.55","535.51K","-0.17%"
