Date,Price,Open,High,Low,Vol.,Change %
8/21/2026,209.91,213.36,213.52,209.85,4.80M,-1.12%
8/20/2026,212.29,218.97,220.49,212.16,4.93M,-3.66%
8/19/2026,220.35,225.93,226.41,220.22,6.23M,-2.28%
8/18/2026,225.49,222.76,226.09,222.3,5.97M,1.74%
8/17/2026,221.64,222.92,224.61,221.6,5.19M,-0.60%
8/14/2026,222.97,222,223.07,219.98,2.87M,1.13%
8/13/2026,220.48,223.47,224,218.87,3.23M,-1.02%
8/12/2026,222.76,222.62,223.55,219.47,3.93M,-0.49%
8/11/2026,223.86,224,225.34,222.34,2.93M,-0.12%
8/10/2026,224.12,224.38,226.88,223.3,3.28M,0.49%
8/7/2026,223.03,222.53,224.31,220.5,4.98M,-0.10%
8/6/2026,223.25,224.21,225.65,220.48,5.97M,0.42%
8/5/2026,222.31,220,222.82,218.9,4.28M,2.01%
8/4/2026,217.93,217.38,218.6,214.52,6.39M,0.59%
8/3/2026,216.65,216.57,218.13,214.42,3.81M,0.66%
7/31/2026,215.22,213.35,215.82,212.04,3.42M,0.39%
7/30/2026,214.38,214.5,214.64,209.39,5.24M,-0.40%
7/29/2026,215.25,220,220.57,215.01,8.23M,-1.52%
7/28/2026,218.58,220.99,221.34,215.9,7.78M,0.07%
7/27/2026,218.42,214.42,220.39,213.8,8.19M,2.65%
7/24/2026,212.79,210.83,214.89,209.26,5.88M,1.74%
7/23/2026,209.16,205,213.49,202.51,10.00M,7.33%
7/22/2026,194.88,195.9,197.35,193.78,5.15M,0.62%
7/21/2026,193.67,194,197.14,190.02,3.53M,-0.40%
7/20/2026,194.44,194.63,197.54,194.1,4.59M,0.48%
7/17/2026,193.51,195.38,198.44,192.97,4.20M,-0.44%
7/16/2026,194.36,195.66,196.72,192.85,3.73M,-0.78%
7/15/2026,195.89,195.01,196.28,193.14,3.54M,1.29%
7/14/2026,193.39,196.38,198.5,193.39,4.25M,-1.53%
7/13/2026,196.39,196.44,197.69,195.23,3.61M,0.23%
7/10/2026,195.93,195.01,196.69,192.59,2.82M,0.37%
7/9/2026,195.2,193.99,195.83,193,3.94M,0.15%
7/8/2026,194.91,199,200.41,194.69,4.16M,-2.96%
7/7/2026,200.85,203.54,203.94,199.64,4.40M,-0.26%
7/6/2026,201.37,200,202.55,197.96,6.57M,1.06%
7/2/2026,199.25,194.77,199.7,194.04,5.19M,3.90%
7/1/2026,191.78,190.48,191.82,188.97,3.78M,1.08%
6/30/2026,189.73,189,190.1,186.83,4.05M,1.28%
6/29/2026,187.33,187.61,189.88,187.16,3.59M,-0.35%
6/26/2026,187.99,187.28,190.49,186.88,8.04M,0.75%
6/25/2026,186.59,185,189.66,184.35,3.59M,0.83%
6/24/2026,185.06,187.43,187.44,184.65,4.46M,-0.71%
6/23/2026,186.39,183,186.71,181.83,3.91M,2.51%
6/22/2026,181.83,184.59,185.71,180.97,6.35M,-2.03%
6/18/2026,185.6,194,194.17,184.42,8.87M,-3.62%
6/17/2026,192.58,188.75,193.46,186.38,7.53M,3.11%
6/16/2026,186.77,184.25,186.85,182.25,5.10M,1.70%
6/15/2026,183.64,183.86,186.46,182.88,6.07M,0.06%
6/12/2026,183.53,184.69,184.87,181.87,3.35M,-0.37%
6/11/2026,184.21,178.02,184.4,178.02,6.49M,3.83%
6/10/2026,177.41,183,183,176.93,6.04M,-2.29%
6/9/2026,181.56,178.96,182.78,178.54,6.23M,1.62%
6/8/2026,178.66,180.49,182.3,177.9,5.91M,-1.29%
6/5/2026,180.99,179.17,182.53,178.01,6.27M,0.88%
6/4/2026,179.41,176.54,180.42,176.19,4.70M,3.98%
6/3/2026,172.55,173.01,176.42,172.55,4.32M,-0.98%
6/2/2026,174.26,173.89,175.75,172.99,4.39M,-0.09%
6/1/2026,174.41,177.44,178.69,174.13,5.48M,-2.92%
5/29/2026,179.66,178.91,180.1,176.04,8.76M,0.39%
5/28/2026,178.96,176.8,181.55,176.74,5.84M,1.34%
5/27/2026,176.59,178.49,178.8,175.71,5.15M,-1.33%
5/26/2026,178.97,178,179.21,176.07,5.53M,1.11%
5/22/2026,177.01,176.74,177.6,175.26,4.32M,0.59%
5/21/2026,175.98,174.59,177.18,173.29,3.60M,0.65%
5/20/2026,174.85,175.47,176.16,173,6.63M,0.21%
5/19/2026,174.49,176.29,177,174.38,5.58M,-0.83%
5/18/2026,175.95,171.68,176.09,171,5.63M,2.79%
5/15/2026,171.18,175.52,175.98,170.78,7.69M,-2.56%
5/14/2026,175.68,178.11,178.9,175.3,6.42M,-1.36%
5/13/2026,178.11,177.77,179.44,175.3,6.14M,-0.44%
5/12/2026,178.89,178.6,179.92,176.62,5.60M,0.16%
5/11/2026,178.61,175.16,179.93,174.6,6.52M,1.43%
5/8/2026,176.09,176.22,177.09,174.6,6.28M,-0.39%
5/7/2026,176.78,176.54,177.39,173.68,5.66M,0.02%
5/6/2026,176.74,174.79,178.09,173.57,6.10M,2.24%
5/5/2026,172.87,173.92,174.15,171.2,4.72M,-0.02%
5/4/2026,172.9,174,175.87,172.89,5.08M,-0.63%
5/1/2026,173.99,176.23,176.99,173.26,4.49M,-1.18%
4/30/2026,176.07,173.64,176.65,173.48,6.22M,1.90%
4/29/2026,172.79,175.56,176.27,171.78,5.04M,-1.65%
4/28/2026,175.68,175.25,175.79,172.34,6.12M,1.33%
4/27/2026,173.38,172.3,176.99,172.3,6.51M,-0.50%
4/24/2026,174.26,177.78,177.78,171.63,10.51M,-2.81%
4/23/2026,179.3,181.36,182.64,177.5,6.29M,-0.89%
4/22/2026,180.91,187.74,188.74,179.84,8.51M,-3.34%
4/21/2026,187.17,194.61,196.62,186.54,7.49M,-4.40%
4/20/2026,195.79,197.8,198.39,194.8,4.99M,-0.32%
4/17/2026,196.42,195.58,199.94,195.2,4.78M,0.29%
4/16/2026,195.85,198.41,199.94,193.91,4.00M,-1.28%
4/15/2026,198.39,202.99,203,197.69,4.42M,-2.18%
4/14/2026,202.81,201.35,204.32,200.91,3.30M,0.70%
4/13/2026,201.41,201.75,202.99,200.13,3.43M,-0.07%
4/10/2026,201.56,202.82,202.82,197.79,3.15M,-0.80%
4/9/2026,203.19,203.22,205.36,202.61,2.79M,-0.14%
4/8/2026,203.48,198.6,203.8,198.42,4.46M,2.81%
4/7/2026,197.92,197.41,198.15,195.51,3.04M,-0.25%
4/6/2026,198.41,196.23,198.63,195,2.31M,1.12%
4/2/2026,196.21,195.08,197.44,193.63,4.11M,0.77%
4/1/2026,194.72,194.47,196.64,193.55,4.13M,0.94%
3/31/2026,192.9,189.14,193.44,187.58,5.32M,3.07%
3/30/2026,187.15,192.49,193,185.57,5.04M,-1.35%
3/27/2026,189.71,192.41,193.11,189.46,3.86M,-1.63%
3/26/2026,192.85,194.31,194.31,191.38,4.87M,-1.10%
3/25/2026,195,196.05,196.67,194.05,4.06M,0.52%
3/24/2026,194,192.22,195.14,191.18,5.14M,-0.42%
3/23/2026,194.82,197.17,199.75,194.46,4.93M,-1.69%
3/20/2026,198.16,201.26,202.03,196.49,8.46M,-1.28%
3/19/2026,200.73,203.33,203.38,197.02,5.33M,-1.87%
3/18/2026,204.56,204.31,207.3,204.03,3.51M,0.60%
3/17/2026,203.33,205.81,206.67,200.71,3.99M,-1.32%
3/16/2026,206.06,204.71,208.9,204.61,4.80M,0.75%
3/13/2026,204.52,204.46,206.29,201.9,4.81M,0.73%
3/12/2026,203.04,206.18,206.77,201.84,6.40M,-2.04%
3/11/2026,207.26,205.66,209.39,204.7,4.42M,0.13%
3/10/2026,207,206.36,208.47,205.28,4.14M,-0.59%
3/9/2026,208.23,211.76,213,206.81,8.63M,-0.73%
3/6/2026,209.76,204.01,209.95,203.64,8.79M,2.89%
3/5/2026,203.86,208.49,210.15,200.1,6.94M,-2.38%
3/4/2026,208.82,207,209.95,204.23,6.14M,1.11%
3/3/2026,206.52,213.01,214.5,205.57,9.66M,-2.66%
3/2/2026,212.16,210.65,212.82,208,12.49M,4.71%
2/27/2026,202.62,198.31,202.62,197.63,8.98M,2.52%
2/26/2026,197.63,196.5,198.68,194,5.76M,0.84%
2/25/2026,195.98,198.46,198.76,192.62,6.89M,-1.25%
2/24/2026,198.46,200,200.71,197,10.16M,-1.71%
2/23/2026,201.92,203.97,204.9,201.74,4.56M,-1.46%
2/20/2026,204.92,205.49,206.36,203.02,10.30M,-0.24%
2/19/2026,205.41,204.17,206.73,201.54,6.13M,0.29%
2/18/2026,204.81,205.51,206.01,202.8,6.40M,0.64%
2/17/2026,203.5,200,205.64,198.85,6.06M,1.72%
2/13/2026,200.06,201.14,203.7,198.53,4.94M,-0.54%
2/12/2026,201.14,197,201.88,197,6.74M,2.36%
2/11/2026,196.51,195.58,198.83,195.05,6.78M,0.68%
2/10/2026,195.19,195.03,196.41,193.08,5.50M,-0.51%
2/9/2026,196.19,198.5,200,195.99,4.62M,-1.24%
2/6/2026,198.66,196.96,200.85,196.96,4.35M,1.37%
2/5/2026,195.97,196.23,199.68,194.53,5.54M,-0.39%
2/4/2026,196.74,205.5,206.48,194.33,11.41M,-3.32%
2/3/2026,203.5,201.79,204.87,200.65,8.46M,1.20%
2/2/2026,201.09,199.99,201.66,197,6.24M,0.08%
1/30/2026,200.93,198.37,201.43,197.6,7.23M,0.53%
1/29/2026,199.88,200.93,203.24,198.01,8.87M,0.21%
1/28/2026,199.46,201.28,205.36,198.55,6.83M,-0.90%
1/27/2026,201.28,199.51,202.2,195.44,10.13M,3.68%
1/26/2026,194.13,195.25,195.89,193.5,6.68M,-0.92%
1/23/2026,195.93,196.85,197.58,195,5.11M,-0.21%
1/22/2026,196.34,198.99,198.99,195.81,4.07M,-0.59%
1/21/2026,197.5,197.6,198.3,195.58,5.46M,0.58%
1/20/2026,196.36,200.65,203.03,196.1,6.05M,-2.75%
1/16/2026,201.92,200.09,202.17,199.58,4.83M,1.05%
1/15/2026,199.83,198.95,200.31,196.66,3.66M,0.50%
1/14/2026,198.84,194.84,198.87,193.38,5.25M,2.45%
1/13/2026,194.08,195.62,197.55,193,5.85M,0.12%
1/12/2026,193.85,189.71,194.03,189.41,5.39M,2.84%
1/9/2026,188.5,186.03,189.09,184.37,7.59M,0.71%
1/8/2026,187.17,191.03,196.7,184.9,9.77M,0.78%
1/7/2026,185.73,191.92,193.79,185.61,7.67M,-2.45%
1/6/2026,190.4,188.7,190.71,187.71,3.91M,1.14%
1/5/2026,188.26,187.3,190.5,186.43,6.05M,0.54%
1/2/2026,187.25,183.5,187.27,182.17,3.33M,2.10%
12/31/2025,183.4,184.1,184.4,182.64,2.64M,-0.33%
12/30/2025,184.01,184.93,185,183.7,1.81M,-0.22%
12/29/2025,184.42,185.17,185.6,184.18,2.03M,-0.41%
12/26/2025,185.17,186.22,186.28,184.51,1.39M,-0.65%
12/24/2025,186.38,185.69,187.1,185.5,1.42M,0.33%
12/23/2025,185.76,185.75,188,185.26,3.35M,0.04%
12/22/2025,185.68,182.86,185.87,181.76,3.21M,2.02%
12/19/2025,182.01,178.96,183.24,178.66,11.46M,2.09%
12/18/2025,178.29,178.49,180.5,178.09,4.09M,0.62%
12/17/2025,177.2,178.92,180.33,176.54,6.63M,-1.52%
